City,Latitude,Longitude,Max Temp(F),Humidity(%),Cloudiness(%),Wind Speed (mph),Country,Date
Cape Town,-33.9258,18.4232,77.11,70,0,14.97,ZA,1666192968
Mukhen,48.1,136.1,37.36,65,55,8.59,RU,1666192969
Pevek,69.7008,170.3133,26.37,96,100,7.11,RU,1666192969
Pontes e Lacerda,-15.2261,-59.3353,95.34,39,83,3.74,BR,1666192970
Puerto Ayora,-0.7393,-90.3518,73.36,89,86,5.99,EC,1666192970
Vila Velha,-20.3297,-40.2925,75.15,93,100,8.05,BR,1666192971
Rikitea,-23.1203,-134.9692,69.49,67,10,17.29,PF,1666192971
Cidreira,-30.1811,-50.2056,68.61,83,49,7.36,BR,1666192971
Kahului,20.8947,-156.47,73.85,73,0,4.61,US,1666192972
Tasiilaq,65.6145,-37.6368,30.18,86,29,2.01,GL,1666192972
Hithadhoo,-0.6,73.0833,80.35,77,100,8.19,MV,1666192974
Kondinskoye,59.6481,67.41,40.06,89,100,10.13,RU,1666192975
Qaanaaq,77.484,-69.3632,0.12,72,2,8.25,GL,1666192975
Puerto El Triunfo,13.2833,-88.55,81.46,76,95,1.25,SV,1666192976
Dikson,73.5069,80.5464,28.44,96,100,10.69,RU,1666192976
Nikolskoye,59.7035,30.7861,39.09,86,15,5.7,RU,1666192977
Vila Franca do Campo,37.7167,-25.4333,68.41,62,89,22.64,PT,1666192977
Pisco,-13.7,-76.2167,62.65,77,100,5.75,PE,1666192977
Guerrero Negro,27.9769,-114.0611,71.47,71,1,5.12,MX,1666192978
Butaritari,3.0707,172.7902,81.93,69,81,15.88,KI,1666192981
Laguna,38.421,-121.4238,68.18,83,0,3.44,US,1666192983
Arraial do Cabo,-22.9661,-42.0278,78.76,73,40,24.16,BR,1666192985
Bluff,-46.6,168.3333,47.71,66,100,23.47,NZ,1666192985
Nome,64.5011,-165.4064,37.47,82,100,16.11,US,1666192985
Lata,40.1629,-8.3327,66.07,83,100,8.86,PT,1666192986
Bredasdorp,-34.5322,20.0403,77.18,52,4,13.06,ZA,1666192987
Lusambo,-4.9667,23.45,78.06,75,100,5.53,CD,1666192987
Chokurdakh,70.6333,147.9167,-6.95,100,100,1.21,RU,1666192988
Khatanga,71.9667,102.5,13.71,92,100,4.29,RU,1666192989
Avarua,-21.2078,-159.775,71.65,83,40,5.75,CK,1666192989
Āmli,20.2833,73.0167,77.31,84,66,1.05,IN,1666192990
Ushuaia,-54.8,-68.3,51.46,40,20,16.11,AR,1666192922
Baruun-Urt,46.6806,113.2792,40.89,28,71,3.47,MN,1666192992
Mataura,-46.1927,168.8643,36.07,98,88,2.44,NZ,1666192992
Båtsfjord,70.6345,29.7185,40.93,70,75,36.82,NO,1666192993
Los Llanos de Aridane,28.6585,-17.9182,74.12,79,20,5.99,ES,1666192993
Hofn,64.2539,-15.2082,44.62,76,20,5.75,IS,1666192994
Hobart,-42.8794,147.3294,49.05,85,23,2.3,AU,1666192765
Inuvik,68.3499,-133.7218,27.46,93,100,8.05,CA,1666192995
Albany,42.6001,-73.9662,49.39,66,8,1.01,US,1666192995
Saint-Joseph,-21.3667,55.6167,70.18,76,35,11.9,RE,1666192856
Goderich,43.7501,-81.7165,45.91,93,99,8.05,CA,1666192732
Saskylakh,71.9167,114.0833,9.55,89,59,16.89,RU,1666192996
Caravelas,-17.7125,-39.2481,80.2,62,68,10.18,BR,1666192997
Saint-Philippe,-21.3585,55.7679,71.19,78,63,10.96,RE,1666192998
Daru,-9.0763,143.2092,78.71,90,100,4.61,PG,1666192998
Jackson,42.4165,-122.8345,46.8,76,0,0.0,US,1666192999
Torbay,47.6666,-52.7314,61.57,92,75,8.05,CA,1666192999
New Norfolk,-42.7826,147.0587,48.7,59,41,3.44,AU,1666192999
Bubaque,11.2833,-15.8333,83.01,69,42,1.41,GW,1666193000
Barra Patuca,15.8,-84.2833,83.17,74,99,3.56,HN,1666193000
Kutum,14.2,24.6667,86.77,17,8,7.23,SD,1666193002
Al Bardīyah,31.7561,25.0865,72.14,61,63,8.46,LY,1666193002
Noumea,-22.2763,166.4572,67.98,81,94,9.4,NC,1666192753
Cockburn Town,21.4612,-71.1419,85.96,66,40,13.8,TC,1666193002
Faanui,-16.4833,-151.75,76.89,78,5,5.64,PF,1666193003
Beaverlodge,55.2166,-119.4361,36.75,48,68,7.47,CA,1666193004
Viedma,-40.8135,-62.9967,76.6,41,4,20.33,AR,1666193004
Kieta,-6.2167,155.6333,78.96,78,78,3.69,PG,1666193005
Tabou,4.423,-7.3528,80.94,75,60,8.79,CI,1666193005
North Bend,43.4065,-124.2243,51.85,100,100,5.75,US,1666193006
Bengkulu,-3.8004,102.2655,76.19,90,100,2.57,ID,1666193006
Namatanai,-3.6667,152.4333,79.61,80,100,7.4,PG,1666192995
Tezu,27.9167,96.1667,68.88,78,0,4.16,IN,1666193007
Tabuk,17.4189,121.4443,74.01,98,100,2.46,PH,1666193007
Kinshasa,-4.3246,15.3215,89.98,51,20,9.22,CD,1666193007
Jamestown,42.097,-79.2353,40.59,98,100,10.36,US,1666193005
Hermanus,-34.4187,19.2345,69.8,73,33,14.94,ZA,1666193008
Esso,55.9333,158.7,20.73,91,100,8.41,RU,1666193008
Sioux Lookout,50.1001,-91.917,32.07,86,40,4.61,CA,1666193008
Ilulissat,69.2167,-51.1,28.42,86,100,6.91,GL,1666193009
Hualmay,-11.0964,-77.6139,65.32,73,99,10.38,PE,1666193009
Takhtamygda,54.1,123.5667,28.04,82,42,2.21,RU,1666193009
East London,-33.0153,27.9116,79.74,65,0,12.66,ZA,1666193010
Padang,-0.9492,100.3543,75.25,81,78,3.24,ID,1666193011
Muddebihāl,16.3333,76.1333,80.35,68,100,6.08,IN,1666193012
Provideniya,64.3833,-173.3,35.56,96,100,34.31,RU,1666193012
Atuona,-9.8,-139.0333,76.78,71,19,16.82,PF,1666192949
Hasaki,35.7333,140.8333,54.28,56,37,18.95,JP,1666193013
Turaif,31.6725,38.6637,86.25,20,0,9.22,SA,1666193014
Hilo,19.7297,-155.09,76.28,83,100,5.75,US,1666193015
San Jose,37.3394,-121.895,74.25,58,20,4.61,US,1666192905
Hambantota,6.1241,81.1185,80.06,78,97,16.78,LK,1666193016
Punta Arenas,-53.15,-70.9167,50.11,46,0,36.82,CL,1666193016
Upernavik,72.7868,-56.1549,18.5,87,77,5.95,GL,1666193017
Mortka,59.3322,66.0214,39.74,92,99,7.14,RU,1666193017
Mar del Plata,-38.0023,-57.5575,62.62,90,100,13.0,AR,1666192858
Kipini,-2.5257,40.5262,79.09,79,14,11.12,KE,1666193017
Fortuna,40.5982,-124.1573,49.12,100,0,9.22,US,1666193019
Champerico,14.3,-91.9167,84.74,82,18,13.27,GT,1666193019
Lavrentiya,65.5833,-171.0,35.44,89,100,24.85,RU,1666193019
Vaini,-21.2,-175.2,71.76,94,20,2.3,TO,1666193020
Vestmannaeyjar,63.4427,-20.2734,43.79,93,100,6.91,IS,1666193020
Assiut,27.181,31.1837,82.0,30,3,12.21,EG,1666193020
Fairbanks,64.8378,-147.7164,32.59,93,20,0.0,US,1666192752
Karratha,-20.7377,116.8463,77.18,62,0,6.38,AU,1666193021
Antu,26.05,81.9167,75.7,58,0,2.33,IN,1666193022
Kununurra,-15.7667,128.7333,84.18,74,52,4.61,AU,1666193022
Bathsheba,13.2167,-59.5167,88.41,74,40,12.66,BB,1666193023
Manaíra,-7.7061,-38.1544,88.93,29,23,8.61,BR,1666193024
Tautira,-17.7333,-149.15,76.53,83,11,11.65,PF,1666193024
Rantauprapat,2.1,99.8333,74.79,85,95,2.86,ID,1666193024
Tcholliré,8.4022,14.1698,84.06,62,28,2.48,CM,1666193026
